customerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,DailyCharges
0040-halcw,No,male,0,1,1,54,1,no,no,no,no,no,no,no,no,two year,0,credit card (automatic),20.4,1090.6,0.6799999999999999
0042-jvwoj,No,male,0,0,0,26,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),19.6,471.85,0.6533333333333334
0042-rlhyp,No,female,0,1,1,69,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),19.7,1396.9,0.6566666666666666
0047-zhdtw,Unknown,female,0,0,0,11,1,yes,fiber optic,yes,no,no,no,no,no,month-to-month,1,bank transfer (automatic),79.0,929.3,2.6333333333333333
0048-lumls,No,male,0,1,1,37,1,no,fiber optic,no,no,no,no,yes,yes,one year,0,credit card (automatic),91.2,3247.55,3.04
0048-pihnl,No,female,0,1,0,49,1,no,no,no,no,no,no,no,no,one year,0,bank transfer (automatic),20.45,900.9,0.6816666666666666
0052-dckon,No,male,0,1,0,66,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,0,bank transfer (automatic),115.8,7942.15,3.86
0052-ynyot,No,female,0,0,0,67,1,no,no,no,no,no,no,no,no,one year,0,electronic check,20.55,1343.4,0.685
0056-epfbg,No,male,0,1,1,20,0,no,dsl,yes,no,yes,yes,no,no,two year,1,credit card (automatic),39.4,825.4,1.3133333333333332
0057-qbuqh,No,female,0,0,1,43,1,yes,no,no,no,no,no,no,no,two year,1,electronic check,25.1,1070.15,0.8366666666666667
0058-evzwm,No,female,0,1,0,55,1,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,1,bank transfer (automatic),89.8,4959.6,2.993333333333333
0060-fualy,No,female,0,1,0,59,1,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,1,electronic check,94.75,5597.65,3.158333333333333
0064-sudog,No,female,0,1,1,12,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.3,224.5,0.6766666666666666
0064-yijgf,No,male,0,1,1,27,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),75.75,1929.0,2.525
0067-dkwbl,Yes,male,1,0,0,2,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,electronic check,49.25,91.1,1.6416666666666666
0068-figtf,No,female,0,0,0,27,1,no,dsl,no,yes,yes,yes,yes,yes,one year,0,mailed check,78.2,2078.95,2.606666666666667
0071-ndafp,No,male,0,1,1,25,1,yes,no,no,no,no,no,no,no,two year,0,credit card (automatic),25.5,630.6,0.85
0074-hdkdg,No,male,0,1,1,25,1,no,dsl,yes,yes,yes,no,no,no,one year,1,bank transfer (automatic),61.6,1611.0,2.0533333333333332
0076-lveps,No,male,0,0,1,29,0,no,dsl,yes,yes,yes,yes,no,no,month-to-month,1,mailed check,45.0,1242.45,1.5
0078-xzmht,No,male,0,1,0,72,1,yes,dsl,no,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),85.15,6316.2,2.8383333333333334
0080-emyvy,No,female,0,0,0,14,1,no,dsl,no,yes,no,no,no,no,one year,0,credit card (automatic),51.45,727.85,1.715
0080-orozo,No,female,0,0,0,35,1,no,fiber optic,no,no,yes,yes,yes,yes,one year,1,electronic check,99.25,3532.0,3.308333333333333
0082-ldzue,No,male,0,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,1,mailed check,44.3,44.3,1.4766666666666666
0082-oqiqy,No,male,0,0,0,29,1,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,electronic check,94.2,2607.6,3.14
0083-pivik,No,male,0,0,0,64,1,yes,dsl,yes,yes,yes,yes,yes,no,one year,0,electronic check,81.25,5567.55,2.7083333333333335
0089-iiqko,No,female,0,1,1,39,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,credit card (automatic),99.95,3767.4,3.3316666666666666
0093-exyql,No,female,1,0,0,40,1,no,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,91.55,3673.6,3.0516666666666667
0093-xwzfy,Yes,male,0,0,0,40,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),104.5,4036.85,3.4833333333333334
0094-oifmo,Yes,female,1,0,0,11,1,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,electronic check,95.0,1120.3,3.1666666666666665
0096-bxers,No,female,0,1,0,6,1,yes,dsl,no,no,no,no,no,no,month-to-month,0,electronic check,50.35,314.55,1.6783333333333335
0096-fcpuf,No,male,0,0,0,30,1,yes,dsl,yes,no,no,no,no,yes,month-to-month,1,mailed check,64.5,1888.45,2.15
0098-bowso,No,male,0,0,0,27,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,19.4,529.8,0.6466666666666666
0100-duvfc,No,male,1,1,0,70,1,yes,fiber optic,no,yes,yes,no,yes,yes,one year,1,electronic check,104.8,7308.95,3.493333333333333
0103-csitq,No,female,0,1,0,57,1,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,1,bank transfer (automatic),109.4,6252.7,3.646666666666667
0104-ppxdv,No,male,0,1,0,58,1,no,dsl,no,no,yes,no,no,no,one year,0,credit card (automatic),50.3,2878.55,1.6766666666666665
0106-ghrqr,No,male,0,0,0,16,1,yes,dsl,no,yes,yes,no,no,yes,month-to-month,1,bank transfer (automatic),71.4,1212.1,2.3800000000000003
0106-ugrdo,No,female,0,1,0,69,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,116.0,8182.85,3.8666666666666667
0107-weslm,Yes,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,19.85,19.85,0.6616666666666667
0107-yhina,Yes,male,0,0,1,1,1,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,99.75,99.75,3.325
0111-klbqg,No,male,1,1,1,32,1,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,mailed check,93.95,2861.45,3.131666666666667
0112-qawrz,No,male,0,1,1,16,1,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,1,bank transfer (automatic),90.8,1442.2,3.0266666666666664
0112-qwpnc,Yes,male,0,1,0,49,1,yes,dsl,yes,no,yes,yes,yes,yes,one year,0,electronic check,84.35,4059.35,2.8116666666666665
0114-igabw,No,female,0,1,0,71,0,no,dsl,no,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),58.25,4145.9,1.9416666666666667
0114-pegzz,No,female,0,0,0,33,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,0,electronic check,107.55,3645.5,3.585
0114-rsrrw,No,female,0,1,0,10,1,no,no,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),19.95,187.75,0.6649999999999999
0115-tfert,Yes,male,0,1,0,21,1,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,1,electronic check,111.2,2317.1,3.7066666666666666
0117-lfrmw,Yes,male,0,1,1,37,0,no,dsl,yes,yes,yes,no,no,no,month-to-month,0,bank transfer (automatic),40.2,1448.8,1.34
0118-jpnoy,No,female,1,0,0,26,1,no,fiber optic,yes,no,no,no,yes,no,month-to-month,1,credit card (automatic),85.8,2193.65,2.86
0120-yzlqa,Unknown,male,0,0,0,71,1,no,no,no,no,no,no,no,no,two year,1,credit card (automatic),19.9,1355.1,0.6633333333333333
0121-snyrk,No,male,0,0,0,50,0,no,dsl,yes,no,no,yes,no,no,one year,1,mailed check,35.4,1748.9,1.18
0122-oahpz,Yes,female,0,0,0,7,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,73.85,511.25,2.4616666666666664
0123-crbrt,No,female,0,1,1,61,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,mailed check,88.1,5526.75,2.9366666666666665
0125-lzqxk,Yes,male,0,0,0,15,1,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,1,electronic check,101.35,1553.95,3.378333333333333
0128-mkwsg,No,female,0,0,1,26,0,no,dsl,yes,no,no,yes,no,yes,month-to-month,0,mailed check,45.8,1147.0,1.5266666666666666
0129-kptwj,No,male,0,1,0,72,1,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,94.65,6747.35,3.1550000000000002
0129-qmpdr,No,male,0,1,1,44,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),20.5,865.05,0.6833333333333333
0130-sxoun,No,male,0,0,0,66,1,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,0,credit card (automatic),89.4,5976.9,2.98
0133-bmfzo,Yes,female,0,0,0,2,1,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,1,electronic check,86.25,181.65,2.875
0134-xwxce,No,female,1,0,0,44,1,no,dsl,no,no,yes,yes,yes,yes,one year,0,bank transfer (automatic),74.85,3268.05,2.4949999999999997
0135-nmxap,Yes,female,0,0,0,12,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,1,bank transfer (automatic),89.75,1052.4,2.9916666666666667
0136-ifmyd,No,male,1,1,0,69,1,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,1,electronic check,109.95,7634.25,3.665
0137-ocgab,Yes,female,0,0,0,1,1,yes,fiber optic,no,yes,no,no,no,no,month-to-month,1,mailed check,80.2,80.2,2.6733333333333333
0137-udeuo,Yes,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.85,63.75,0.6616666666666667
0139-ivfjg,No,female,0,1,0,2,1,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,0,electronic check,90.35,190.5,3.0116666666666663
0141-yeays,No,female,1,0,0,27,1,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,1,bank transfer (automatic),86.45,2401.05,2.881666666666667
0142-gvysn,No,male,0,0,0,26,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,20.3,511.25,0.6766666666666666
0147-eswwr,No,female,1,1,0,39,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,electronic check,101.25,3949.15,3.375
0148-dcdos,Yes,male,0,0,0,25,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,bank transfer (automatic),94.7,2362.1,3.1566666666666667
0151-ontov,Yes,female,0,0,0,1,1,no,fiber optic,no,no,no,no,no,no,month-to-month,0,mailed check,70.9,70.9,2.3633333333333337
0154-qyhju,Unknown,male,0,0,0,29,1,no,dsl,yes,yes,no,yes,no,no,one year,1,electronic check,58.75,1696.2,1.9583333333333333
0156-fvpta,Yes,male,0,1,0,22,1,no,dsl,yes,no,no,yes,no,no,month-to-month,1,electronic check,54.2,1152.7,1.8066666666666669
0162-rzgmz,Unknown,female,1,0,0,5,1,no,dsl,yes,yes,no,yes,no,no,month-to-month,0,credit card (automatic),59.9,287.85,1.9966666666666666
0164-apgrb,No,female,0,0,0,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,114.9,8496.7,3.83
0164-xairp,No,female,0,0,0,24,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),19.55,470.2,0.6516666666666667
0168-xzkbb,No,female,0,1,0,19,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,86.85,1564.4,2.895
0174-qrvvy,No,male,0,1,1,71,1,yes,no,no,no,no,no,no,no,two year,0,credit card (automatic),25.35,1847.55,0.8450000000000001
0177-pxbat,No,male,1,1,0,33,1,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,1,bank transfer (automatic),109.9,3694.7,3.6633333333333336
0178-ciikr,No,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.95,58.0,0.6649999999999999
0178-szbho,No,male,0,1,1,47,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,0,electronic check,87.2,4017.45,2.9066666666666667
0181-ritdd,No,male,0,1,1,62,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,0,mailed check,108.15,6825.65,3.605
0186-caerr,No,male,0,0,0,71,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,1,bank transfer (automatic),116.3,8309.55,3.8766666666666665
0187-qsxoe,No,male,1,1,0,7,1,no,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,89.0,605.45,2.966666666666667
0187-wznab,No,female,0,1,1,27,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,0,mailed check,74.4,1972.35,2.48
0188-gwfle,No,male,0,0,0,2,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.05,33.7,0.6683333333333333
0191-equuh,No,female,0,0,1,25,0,no,dsl,yes,no,no,yes,no,no,two year,0,bank transfer (automatic),35.05,844.45,1.1683333333333332
0191-zhskz,No,male,1,0,0,30,1,no,dsl,yes,yes,no,no,yes,yes,month-to-month,1,electronic check,74.75,2111.3,2.4916666666666667
0193-eszxp,Yes,female,1,1,0,58,1,no,fiber optic,yes,yes,no,yes,yes,yes,one year,1,credit card (automatic),105.5,6205.5,3.5166666666666666
0195-iescp,Yes,male,0,1,0,10,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,85.25,855.3,2.841666666666667
0196-jtuqi,No,female,0,0,0,9,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,credit card (automatic),75.2,633.85,2.506666666666667
0196-vulgz,Yes,female,1,1,0,6,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,84.35,474.9,2.8116666666666665
0197-pnknk,No,female,0,1,1,69,1,yes,fiber optic,yes,no,yes,no,no,no,one year,0,bank transfer (automatic),84.45,5848.6,2.815
0201-mibol,No,female,1,0,0,66,1,yes,fiber optic,yes,no,no,no,yes,yes,two year,1,bank transfer (automatic),102.4,6471.85,3.4133333333333336
0201-oamxr,Yes,female,0,0,0,70,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,0,credit card (automatic),115.55,8127.6,3.8516666666666666
0203-hhyij,Yes,male,0,0,0,25,1,yes,no,no,no,no,no,no,no,one year,0,bank transfer (automatic),25.3,676.35,0.8433333333333334
0206-oyvoc,No,female,0,1,1,46,1,no,no,no,no,no,no,no,no,two year,1,mailed check,19.25,864.2,0.6416666666666667
0206-tbwlc,No,female,0,1,0,54,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,1,mailed check,114.65,6049.5,3.8216666666666668
0207-mdknv,Yes,female,0,0,0,15,1,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,0,electronic check,105.1,1582.75,3.503333333333333
0208-bpqej,No,female,0,1,1,12,1,no,no,no,no,no,no,no,no,month-to-month,0,bank transfer (automatic),19.4,198.1,0.6466666666666666
0212-isbbf,No,female,0,0,0,22,0,no,dsl,no,yes,no,no,yes,yes,month-to-month,1,electronic check,50.35,1098.85,1.6783333333333335
0214-jhpfw,No,female,0,1,0,70,0,no,dsl,no,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),57.8,4039.3,1.9266666666666665
0215-bqkgs,No,male,0,0,0,30,1,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,1,credit card (automatic),84.3,2438.6,2.81
0218-qnvas,No,male,0,1,1,71,1,yes,fiber optic,no,yes,no,no,yes,yes,one year,0,bank transfer (automatic),100.55,7113.75,3.3516666666666666
0219-qaerp,No,male,0,1,0,30,1,no,no,no,no,no,no,no,no,one year,0,credit card (automatic),19.8,576.65,0.66
0219-ytzue,Yes,male,0,1,1,4,1,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,1,bank transfer (automatic),84.8,371.9,2.8266666666666667
0220-ebgce,Yes,male,0,0,0,2,1,no,fiber optic,no,no,yes,no,no,yes,month-to-month,1,electronic check,85.85,167.3,2.8616666666666664
0221-nauxk,No,male,0,0,1,10,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),19.95,219.5,0.6649999999999999
0221-wmxnq,No,male,1,0,0,4,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,0,electronic check,75.35,273.4,2.5116666666666663
0222-cnvpt,No,male,1,0,0,52,0,no,dsl,yes,no,no,no,yes,yes,month-to-month,1,credit card (automatic),48.8,2555.05,1.6266666666666665
0224-hjapt,Yes,male,0,0,0,5,1,yes,dsl,no,no,no,no,no,no,month-to-month,0,electronic check,47.15,223.15,1.5716666666666665
0224-nijlp,No,male,0,1,1,8,1,no,no,no,no,no,no,no,no,two year,0,mailed check,20.15,165.5,0.6716666666666666
0224-rlwwd,No,female,1,0,0,2,1,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,44.3,89.3,1.4766666666666666
0225-zorzp,No,male,0,0,0,3,1,no,fiber optic,no,yes,no,no,no,yes,month-to-month,0,electronic check,84.3,235.05,2.81
0228-mauwc,No,male,0,0,0,19,1,yes,dsl,no,no,yes,yes,no,no,month-to-month,0,electronic check,59.55,1144.6,1.9849999999999999
0229-lfjaf,No,male,0,0,0,72,1,yes,dsl,yes,yes,yes,yes,no,no,two year,0,bank transfer (automatic),69.65,4908.25,2.3216666666666668
0230-ubypq,No,male,1,1,0,63,0,no,dsl,yes,no,no,yes,no,no,one year,0,bank transfer (automatic),36.1,2298.9,1.2033333333333334
0230-wequw,No,male,0,1,0,66,0,no,dsl,yes,yes,yes,yes,yes,no,two year,1,bank transfer (automatic),56.6,3789.2,1.8866666666666667
0231-lxvap,Yes,male,0,0,0,1,1,no,fiber optic,no,no,no,yes,no,no,month-to-month,1,electronic check,75.9,75.9,2.5300000000000002
0233-fthav,No,female,0,0,0,60,1,yes,fiber optic,no,no,yes,no,no,no,one year,1,bank transfer (automatic),79.2,4765.0,2.64
0234-tevtt,No,female,0,1,1,48,0,no,dsl,yes,no,yes,no,no,yes,one year,0,credit card (automatic),45.0,2196.3,1.5
0235-kgslc,Yes,female,0,0,0,1,1,no,fiber optic,no,no,yes,no,yes,no,month-to-month,1,credit card (automatic),85.55,85.55,2.8516666666666666
0236-hfwsv,Yes,male,0,0,0,15,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,93.35,1444.65,3.1116666666666664
0237-yfutl,No,female,0,1,0,50,1,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,1,bank transfer (automatic),109.65,5405.8,3.6550000000000002
0238-whbiq,No,male,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,credit card (automatic),89.7,6339.3,2.99
0239-oxexl,No,female,0,0,0,46,1,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,0,mailed check,84.25,3847.6,2.808333333333333
0244-lgnfy,No,female,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),92.65,6733.0,3.0883333333333334
0247-sluji,No,male,0,1,1,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.7,19.7,0.6566666666666666
0248-ipdfw,No,female,0,0,0,1,1,yes,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,50.1,50.1,1.6700000000000002
0248-pghbz,No,female,1,0,0,67,1,no,fiber optic,yes,yes,no,yes,yes,no,two year,1,bank transfer (automatic),92.45,6140.85,3.0816666666666666
0253-zteob,No,female,0,1,1,48,1,yes,dsl,no,yes,no,yes,yes,yes,two year,0,electronic check,79.65,3870.3,2.6550000000000002
0254-fnmci,No,female,0,0,0,72,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,109.9,7624.2,3.6633333333333336
0254-kcjgt,No,male,0,1,0,52,1,yes,dsl,yes,yes,yes,yes,no,yes,one year,1,credit card (automatic),81.4,4354.45,2.7133333333333334
0254-wwrkd,No,female,0,1,1,67,1,no,dsl,no,yes,no,no,no,no,one year,0,credit card (automatic),50.55,3431.75,1.6849999999999998
0256-lthvj,Yes,female,0,1,1,28,1,no,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,81.05,2227.1,2.7016666666666667
0257-kxzgu,No,female,0,1,1,32,1,yes,dsl,no,yes,yes,no,no,no,month-to-month,0,bank transfer (automatic),62.45,2045.55,2.0816666666666666
0257-zesqc,Yes,female,1,1,0,27,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,1,bank transfer (automatic),75.2,1929.35,2.506666666666667
0258-nokbl,No,male,0,0,0,3,1,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,0,electronic check,90.4,268.45,3.0133333333333336
0259-gbzsh,Yes,male,0,0,0,2,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,85.65,181.5,2.855
0260-zdlgk,Yes,female,0,0,1,9,1,no,dsl,no,no,yes,yes,yes,yes,month-to-month,1,mailed check,72.9,651.4,2.43
0263-fjtqo,No,male,0,1,1,50,1,yes,dsl,yes,no,no,yes,yes,no,two year,1,credit card (automatic),70.5,3486.65,2.35
0264-cnitk,No,female,0,1,1,71,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.1,1389.6,0.67
0265-edxbd,Yes,male,1,1,0,32,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,74.9,2303.35,2.496666666666667
0265-psuae,No,female,0,1,1,16,1,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,0,bank transfer (automatic),100.7,1522.7,3.356666666666667
0266-clzkz,No,female,0,1,1,67,1,yes,fiber optic,no,no,yes,yes,yes,yes,two year,1,bank transfer (automatic),105.65,6717.9,3.521666666666667
0266-gmeao,No,male,0,1,1,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),114.3,8058.55,3.81
0268-qkiwo,Yes,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,electronic check,19.75,58.85,0.6583333333333333
0269-xfesx,No,male,0,1,1,23,1,yes,no,no,no,no,no,no,no,one year,0,mailed check,24.35,538.5,0.8116666666666668
0270-thenm,No,male,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,no,no,two year,0,bank transfer (automatic),69.85,5102.35,2.328333333333333
0274-jkujr,No,male,0,1,1,7,0,no,dsl,yes,yes,yes,no,yes,yes,month-to-month,0,mailed check,58.85,465.7,1.9616666666666667
0274-vvqoq,Unknown,male,1,1,0,65,1,yes,fiber optic,no,yes,yes,no,yes,yes,one year,1,bank transfer (automatic),103.15,6792.45,3.4383333333333335
0277-bksqp,No,male,0,1,1,8,1,no,dsl,no,no,no,no,yes,no,month-to-month,1,electronic check,54.4,475.1,1.8133333333333332
0277-orxqs,No,male,0,1,1,66,0,no,dsl,no,no,no,yes,yes,yes,two year,0,bank transfer (automatic),50.55,3364.55,1.6849999999999998
0278-yxoog,Yes,male,0,0,0,5,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,21.05,113.85,0.7016666666666667
0280-xjgex,Yes,male,0,0,0,49,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),103.7,5036.3,3.4566666666666666
0281-cntzx,No,male,0,1,0,63,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),19.95,1234.8,0.6649999999999999
0282-nvsjs,No,female,1,1,1,12,0,no,dsl,no,no,no,yes,no,no,month-to-month,1,mailed check,29.3,355.9,0.9766666666666667
0285-inhln,No,male,0,1,1,27,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,credit card (automatic),54.75,1510.3,1.825
0289-ivarm,No,female,0,0,0,35,1,no,dsl,yes,yes,yes,no,no,no,month-to-month,0,electronic check,60.55,1982.6,2.018333333333333
